date,channelGrouping,sessions
2014-04-15,Display,62
2014-04-15,Organic Search,76
2014-04-15,Paid Search,13
2014-04-15,Referral,10
2014-04-15,Social,18
2014-04-16,Direct,40
2014-04-16,Display,40
2014-04-16,Organic Search,60
2014-04-16,Paid Search,6
2014-04-16,Referral,14
2014-04-16,Social,6
2014-04-17,Direct,20
2014-04-17,Display,28
2014-04-17,Organic Search,29
2014-04-17,Paid Search,6
2014-04-17,Referral,5
2014-04-17,Social,8
2014-04-18,Direct,13
2014-04-18,Display,17
2014-04-18,Organic Search,19
2014-04-18,Paid Search,11
2014-04-18,Referral,5
2014-04-18,Social,4
2014-04-19,Direct,16
2014-04-19,Display,19
2014-04-19,Organic Search,12
2014-04-19,Paid Search,6
2014-04-19,Referral,4
2014-04-19,Social,5
2014-04-20,Direct,10
2014-04-20,Display,27
2014-04-20,Organic Search,27
2014-04-20,Paid Search,13
2014-04-20,Referral,3
2014-04-20,Social,3
2014-04-21,(Other),1
2014-04-21,Direct,46
2014-04-21,Display,52
2014-04-21,Organic Search,66
2014-04-21,Paid Search,13
2014-04-21,Referral,6
2014-04-21,Social,26
2014-04-22,(Other),2
2014-04-22,Direct,44
2014-04-22,Display,66
2014-04-22,Email,12
2014-04-22,Organic Search,68
2014-04-22,Paid Search,12
2014-04-22,Referral,23
2014-04-22,Social,9
2014-04-23,(Other),2
2014-04-23,Direct,25
2014-04-23,Display,56
2014-04-23,Email,7
2014-04-23,Organic Search,89
2014-04-23,Paid Search,12
2014-04-23,Referral,10
2014-04-23,Social,18
2014-04-24,(Other),2
2014-04-24,Direct,32
2014-04-24,Display,62
2014-04-24,Email,3
2014-04-24,Organic Search,95
2014-04-24,Paid Search,7
2014-04-24,Referral,17
2014-04-24,Social,19
2014-04-25,Direct,30
2014-04-25,Display,28
2014-04-25,Organic Search,51
2014-04-25,Paid Search,5
2014-04-25,Referral,14
2014-04-25,Social,7
2014-04-26,Direct,16
2014-04-26,Display,25
2014-04-26,Organic Search,30
2014-04-26,Paid Search,7
2014-04-26,Referral,8
2014-04-26,Social,4
2014-04-27,Direct,20
2014-04-27,Display,38
2014-04-27,Organic Search,35
2014-04-27,Paid Search,5
2014-04-27,Referral,7
2014-04-27,Social,8
2014-04-28,(Other),2
2014-04-28,Direct,38
2014-04-28,Display,55
2014-04-28,Organic Search,106
2014-04-28,Paid Search,7
2014-04-28,Referral,15
2014-04-28,Social,9
2014-04-29,(Other),1
2014-04-29,Direct,46
2014-04-29,Display,74
2014-04-29,Email,1
2014-04-29,Organic Search,103
2014-04-29,Paid Search,10
2014-04-29,Referral,16
2014-04-29,Social,13
2014-04-30,(Other),1
2014-04-30,Direct,38
2014-04-30,Display,65
2014-04-30,Email,2
2014-04-30,Organic Search,58
2014-04-30,Paid Search,2
2014-04-30,Referral,7
2014-04-30,Social,12
2014-05-01,Direct,22
2014-05-01,Display,29
