date,campaign,impressions,adClicks,adCost,cpc
2016-09-07,AND - MASTER - MARKETING ONLINE,1.0,1.0,3.59,3.59
2016-09-07,AND - MASTER - SEO y SEM,10.0,1.0,3.54,3.54
2016-09-07,BCN - MASTER - ANALITICA WEB,3.0,0.0,0.0,0.0
2016-09-07,BCN - MASTER - MARKETING ONLINE,10.0,2.0,8.2,4.1
2016-09-07,BCN - MASTER - SEO y SEM,49.0,1.0,8.47,8.47
2016-09-07,BCN - MASTER - UX,9.0,3.0,15.15,5.05
2016-09-07,MAD - CURSO - APACHE FLINK,11.0,0.0,0.0,0.0
2016-09-07,MAD - CURSO - ESTADISTICA,54.0,0.0,0.0,0.0
2016-09-07,MAD - CURSO - HADOOP & SPARK,119.0,0.0,0.0,0.0
2016-09-07,MAD - CURSO - MK CONTENIDO PERIODISTAS,28.0,0.0,0.0,0.0
2016-09-07,MAD - CURSO - OPEN STACK,73.0,0.0,0.0,0.0
2016-09-07,MAD - CURSO - PROGRAMACION,53.0,1.0,1.14,1.14
2016-09-07,MAD - CURSO - R,56.0,0.0,0.0,0.0
2016-09-07,MAD - CURSO - SOLUCIONES NEGOCIO,12.0,1.0,1.17,1.17
2016-09-07,MAD - MASTER - ANALITICA WEB,8.0,1.0,10.06,10.06
2016-09-07,MAD - MASTER - BIG DATA,3.0,1.0,23.45,23.45
2016-09-07,MAD - MASTER - DATA SCIENCE,4.0,0.0,0.0,0.0
2016-09-07,MAD - MASTER - MARKETING ONLINE,15.0,2.0,20.47,10.235
2016-09-07,MAD - MASTER - SEO y SEM,66.0,2.0,15.31,7.655
2016-09-07,MAD - MASTER - UX,34.0,1.0,5.99,5.99
2016-09-07,NAC - MASTER - ANALITICA WEB,5.0,1.0,6.84,6.84
2016-09-07,NAC - MASTER - BIG DATA,9.0,0.0,0.0,0.0
2016-09-07,NAC - MASTER - DATA SCIENCE,7.0,3.0,23.0,7.666666666666667
2016-09-07,NAC - MASTER - MARKETING ONLINE,25.0,0.0,0.0,0.0
2016-09-07,NAC - MASTER - SEO y SEM,46.0,0.0,0.0,0.0
2016-09-07,NAC - MASTER - UX,27.0,0.0,0.0,0.0
2016-09-07,VAL - MASTER - SEO y SEM,45.0,1.0,2.78,2.78
2016-09-08,0 - MARCA,32.0,7.0,2.25,0.3214285714285714
2016-09-08,0 - MARCA BCN,3.0,0.0,0.0,0.0
2016-09-08,ALI - MASTER - MARKETING ONLINE,14.0,0.0,0.0,0.0
2016-09-08,AND - MASTER - ANALITICA WEB,11.0,0.0,0.0,0.0
2016-09-08,AND - MASTER - MARKETING ONLINE,18.0,0.0,0.0,0.0
2016-09-08,AND - MASTER - SEO y SEM,20.0,1.0,2.58,2.58
2016-09-08,BCN - MASTER - ANALITICA WEB,13.0,0.0,0.0,0.0
2016-09-08,BCN - MASTER - MARKETING ONLINE,9.0,2.0,10.71,5.355
2016-09-08,BCN - MASTER - SEO y SEM,9.0,1.0,17.19,17.19
2016-09-08,BCN - MASTER - UX,4.0,0.0,0.0,0.0
