date,ciudad,programa,nombre,users,newUsers,bounces,impressions,adClicks,adCost,cpc,ctr
2017-01-23,MAD,CURSO,SOLUCIONES NEGOCIO,1.0,1.0,1.0,7.0,1.0,1.01,1.01,0.14
2017-01-23,MAD,MASTER,ANALITICA WEB,1.0,1.0,0.0,22.0,2.0,25.25,12.625,0.09
2017-01-23,MAD,MASTER,BIG DATA,8.0,7.0,6.0,117.0,7.0,58.7,8.385714285714286,0.06
2017-01-23,MAD,MASTER,DATA SCIENCE,3.0,2.0,2.0,43.0,4.0,59.05,14.7625,0.09
2017-01-23,MAD,MASTER,SEO y SEM,6.0,5.0,4.0,117.0,6.0,31.22,5.203333333333333,0.05
2017-01-23,MAD,MASTER,UX,5.0,5.0,3.0,80.0,7.0,26.97,3.8528571428571428,0.09
2017-01-23,NAC,MASTER,MARKETING ONLINE,1.0,1.0,1.0,29.0,1.0,21.19,21.19,0.03
2017-01-23,NAC,MASTER,SEO y SEM,3.0,3.0,2.0,198.0,3.0,12.99,4.33,0.02
2017-01-23,NAC,MASTER,UX,1.0,1.0,0.0,95.0,1.0,4.71,4.71,0.01
2017-01-24,ALI,MASTER,MARKETING ONLINE,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0
2017-01-24,BCN,MASTER,ANALITICA WEB,2.0,2.0,2.0,13.0,2.0,8.32,4.16,0.15
2017-01-24,BCN,MASTER,MARKETING ONLINE,1.0,1.0,1.0,12.0,1.0,8.2,8.2,0.08
2017-01-24,BCN,MASTER,SEO y SEM,3.0,3.0,2.0,36.0,3.0,8.32,2.7733333333333334,0.08
2017-01-24,BCN,MASTER,UX,2.0,2.0,1.0,33.0,2.0,5.3,2.65,0.06
2017-01-24,MAD,CURSO,ESTADISTICA,1.0,1.0,0.0,71.0,1.0,1.18,1.18,0.01
2017-01-24,MAD,CURSO,PROGRAMACION,3.0,3.0,2.0,80.0,3.0,14.82,4.94,0.04
2017-01-24,MAD,MASTER,ANALITICA WEB,2.0,0.0,1.0,11.0,2.0,28.73,14.365,0.18
2017-01-24,MAD,MASTER,BIG DATA,3.0,3.0,1.0,177.0,4.0,39.36,9.84,0.02
2017-01-24,MAD,MASTER,DATA SCIENCE,3.0,2.0,2.0,64.0,4.0,49.59,12.3975,0.06
2017-01-24,MAD,MASTER,SEO y SEM,3.0,2.0,4.0,76.0,5.0,76.97,15.394,0.07
2017-01-24,MAD,MASTER,UX,5.0,5.0,5.0,94.0,5.0,16.83,3.366,0.05
2017-01-24,NAC,MASTER,BIG DATA,2.0,2.0,1.0,63.0,2.0,16.05,8.025,0.03
2017-01-24,NAC,MASTER,DATA SCIENCE,2.0,2.0,1.0,43.0,2.0,4.46,2.23,0.05
2017-01-24,NAC,MASTER,MARKETING ONLINE,1.0,1.0,1.0,60.0,1.0,9.54,9.54,0.02
2017-01-24,NAC,MASTER,SEO y SEM,1.0,1.0,1.0,118.0,1.0,1.99,1.99,0.01
2017-01-24,NAC,MASTER,UX,7.0,7.0,6.0,132.0,7.0,28.79,4.112857142857143,0.05
2017-01-25,BCN,MASTER,MARKETING ONLINE,1.0,1.0,1.0,16.0,1.0,8.2,8.2,0.06
2017-01-25,BCN,MASTER,SEO y SEM,3.0,3.0,3.0,29.0,3.0,8.33,2.7766666666666664,0.1
2017-01-25,BCN,MASTER,UX,3.0,3.0,3.0,41.0,3.0,4.79,1.5966666666666667,0.07
2017-01-25,MAD,CURSO,ESTADISTICA,2.0,2.0,2.0,82.0,3.0,1.1,0.3666666666666667,0.04
2017-01-25,MAD,CURSO,PROGRAMACION,2.0,2.0,2.0,59.0,2.0,10.85,5.425,0.03
2017-01-25,MAD,MASTER,ANALITICA WEB,1.0,1.0,1.0,25.0,2.0,21.13,10.565,0.08
2017-01-25,MAD,MASTER,BIG DATA,5.0,5.0,6.0,135.0,4.0,44.39,11.0975,0.03
