path,total_conversions,total_conversion_value
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,8,613
Directo > Directo > Email Newsletter > Directo > Directo,8,719
Directo > Email Newsletter > Orgánico Home,8,622
Recuperación del Carrito > Orgánico Home,8,699.5
Orgánico Home > Directo > Directo > Directo > Directo > Referencia,8,890
Email Newsletter > Recuperación del Carrito,8,507.5
Email Newsletter > Directo > Directo > Directo > Email Newsletter,8,541.5
Email Newsletter > Directo > Orgánico No Home,8,444
Email Newsletter > Orgánico Home > Directo > Directo > Directo,8,555
Email Newsletter > Orgánico Home > Email Newsletter,8,482.5
Email Newsletter > Email Newsletter > Email Newsletter > Orgánico Home,8,655
Email Newsletter > Email Newsletter > Recuperación del Carrito,8,611.5
SEM Marca > SEM Marca > Directo > Orgánico Home > Directo,7,572
SEM Marca > Directo > Orgánico Home > Directo > Directo,7,484
SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo,7,484
SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,7,454
SEM Marca > Orgánico No Home > Directo > Directo > Directo > Directo > Directo,7,291
Directo > Directo > Directo > Directo > Directo > Directo > Referencia,7,373.5
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,7,755
Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo > Directo,7,884.8
Directo > Directo > Directo > Recuperación del Carrito,7,280
Directo > Directo > Directo > Orgánico Home > Directo > Directo,7,599
Directo > Directo > Directo > Orgánico No Home,7,394.5
Directo > Directo > Referencia > Directo,7,539
Directo > Referencia > Referencia > Referencia,7,501.5
Directo > Referencia > Directo,7,532.5
Directo > Referencia > Orgánico Home,7,505.5
Directo > Email Newsletter > Directo > Directo > Directo > Directo > Directo,7,462
Orgánico Home > Directo > Directo > Recuperación del Carrito,7,627.5
Orgánico Home > Directo > Referencia > Referencia,7,573
Orgánico Home > Directo > Email Newsletter,7,1095
Orgánico Home > Referencia > Referencia > Referencia,7,502
Email Newsletter > Directo > Email Newsletter > Directo > Directo > Directo,7,579
Email Newsletter > Directo > Email Newsletter > Email Newsletter > Directo,7,529
Email Newsletter > Email Newsletter > Directo > Orgánico No Home,7,519
Email Newsletter > Email Newsletter > Email Newsletter > Directo > Email Newsletter,7,444
Social Orgánico > Social Orgánico,7,572
Orgánico No Home > Email Newsletter,7,376
SEM Marca > SEM Marca > SEM Marca > Orgánico Home,6,561
SEM Marca > SEM Marca > SEM Marca > Orgánico Home > Directo,6,373
SEM Marca > SEM Marca > Directo > Orgánico Home,6,549
SEM Marca > SEM Marca > Orgánico Home > Directo > Directo > Directo > Directo,6,415
SEM Marca > Referencia,6,444.5
SEM Marca > Directo > Orgánico Home > Directo > Directo > Directo > Directo,6,287
SEM Marca > Directo > Orgánico No Home,6,379.5
